Ligand_ID,Smiles
CHEMBL4776225,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cccc2ccccc12
CHEMBL4763085,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1
CHEMBL4748379,Cc1ccc2sc(S(=O)(=O)N[C@@H]3CCN(CCCc4noc5ccccc45)C3)cc2c1
CHEMBL4784414,Cc1ccc2sc(S(=O)(=O)N[C@H]3CCN(CCCc4noc5ccccc45)C3)cc2c1
CHEMBL4796647,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc(F)cc1
CHEMBL4795995,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2s1
CHEMBL4792709,CC(=O)N(C)c1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1
CHEMBL4799934,CC(=O)Nc1ccc(OCC(O)CN2CCC(c3noc4cc(F)ccc34)CC2)cc1
CHEMBL4860754,COc1ccccc1N1CCN(CCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1
CHEMBL4853700,O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2ccccn2)CC1
CHEMBL4849734,COc1ccccc1C(=O)NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21
CHEMBL4864112,COc1ccc(C(=O)NCCCCN2CCO[C@@H]3c4cc(OC)ccc4OC[C@H]32)cc1
CHEMBL4790018,CCCN(CCCCc1cn(CCOCCOCCOCCn2cc(CCCCN(CCC)C3Cc4ccccc4C3)nn2)nn1)C1Cc2ccccc2C1
CHEMBL4792999,CCCN(CCCCNC(=O)c1ccc(-c2ccc(OCc3cn(CCOCCOCCOCCOCCn4cc(COc5ccc(-c6ccc(C(=O)NCCCCN(CCC)C7Cc8ccccc8C7)cc6)cc5)nn4)nn3)cc2)cc1)C1Cc2ccccc2C1
CHEMBL5179879,O=C(O)C(=O)O.c1ccc(N2CCN(CCCc3nc4ccccc4o3)CC2)cc1
CHEMBL5200816,O=C(O)C(=O)O.c1ccc(N2CCN(CCCc3nc4ccccc4s3)CC2)cc1
CHEMBL5093200,CN(C)CCC(C(=O)NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)(c1ccccc1)c1ccccc1
CHEMBL4868275,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2Cc2ccccc2)c1OCc1ccccc1
CHEMBL4847432,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2C[C@@H](OCCCCO)CN2)c1O
CHEMBL3354065,CCCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1
CHEMBL4789422,COc1ccccc1N1CCN(CCCOc2ccc(NC(C)=O)cc2)CC1
CHEMBL4784373,CC(=O)Nc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1
CHEMBL4781480,C#CCCCCN(CCC)C1Cc2ccccc2C1
CHEMBL4741142,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cccc(Cl)c1
CHEMBL4764006,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2o1
CHEMBL4764468,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2s1
CHEMBL4749824,Cn1ccc2c(S(=O)(=O)N[C@H]3CCN(CCCc4noc5ccccc45)C3)cccc21
CHEMBL5170580,Cc1cccc(N2CCN(CCCN3C(=O)CCc4ccccc43)CC2)c1.O=C(O)C(=O)O
CHEMBL5178868,COc1ccc(N2CCN(CCCN3C(=O)CCc4ccccc43)CC2)cc1.O=C(O)C(=O)O
CHEMBL4744824,O=C(c1ccccc1)N1CCC(NCCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
CHEMBL5196873,O=C(O)C(=O)O.O=C1CCc2ccccc2N1CCCN1CCN(c2ccccn2)CC1
CHEMBL4742804,CC(C)c1nc2c(N3CCNCC3)nccc2n1S(=O)(=O)c1cccc(Cl)c1
CHEMBL2387229,Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12
CHEMBL4863980,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCOCC5)c(Cl)c4)CC3)noc2c1
CHEMBL238915,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ccc(Cl)cc2)CC1
CHEMBL5205590,O=C(O)C(=O)O.c1ccc(N2CCN(CCCn3ccc4ccccc43)CC2)cc1
CHEMBL5203856,O=C(O)C(=O)O.c1ccc(N2CCN(CCCc3nc4ccccc4[nH]3)CC2)cc1
CHEMBL4520796,Cc1ccc(C(C)C)c(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1
CHEMBL5189648,Nc1nc(NCCCCN2CCN(c3ccccc3)CC2)nc(NCCc2c[nH]c3ccccc23)n1
CHEMBL5080955,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc(F)c(Cl)c1
CHEMBL5082267,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1cccc(C(F)(F)F)c1
CHEMBL5191557,Nc1nc(N)nc(NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)n1
CHEMBL4778398,O=C(NCCCCN1CCO[C@H]2c3cc(O)ccc3OC[C@@H]21)c1cc2ccccc2[nH]1
CHEMBL5088622,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(OCCCN3CCCC3)ccc1C2
CHEMBL4759208,CN1CCN(c2ccc3ccn(S(=O)(=O)c4ccccc4)c3c2)CC1
CHEMBL4788140,C[C@H]1CN(CC[C@H]2CC[C@H](N3C(=O)[C@@H]4[C@H](C3=O)[C@@H]3C=C[C@H]4C3)CC2)CCc2ccc(Cl)cc21
CHEMBL4085780,O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1
CHEMBL5169993,O=C(O)C(=O)O.c1ccc(N2CCN(CCCN3CCCc4ccccc43)CC2)cc1
CHEMBL5199358,O=C(O)C(=O)O.O=C1CCc2ccccc2N1CCCCN1CCN(c2ccccc2)CC1
CHEMBL3883955,O=c1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)nn1-c1c(F)cccc1F
CHEMBL4867978,Fc1ccc2c(C3CCN(CCCOc4ccc(CCN5CCOCC5)cc4)CC3)noc2c1
CHEMBL351963,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(CC5)C3=O)CC2)cc1
CHEMBL5076846,C[C@H]1C[C@H](NS(=O)(=O)c2cc3ccc(F)cc3s2)CN1CCCc1noc2cc(F)ccc12
CHEMBL5084145,CN(C)C(=O)C(CCN1CCc2ccc(C#N)cc2C1)(c1ccccc1)c1ccccc1
CHEMBL5207313,O=C(O)C(=O)O.c1ccc(N2CCN(CCCn3cnc4ccccc43)CC2)cc1
CHEMBL5088232,C[C@H]1C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CN1CCCc1noc2cc(F)ccc12
CHEMBL4870307,COc1cc(CN2CCCCC2)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
CHEMBL4869122,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1ccc([N+](=O)[O-])cc1
CHEMBL4877715,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3cccc4ccccc34)[C@@H]1CO2
CHEMBL4855879,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3cc(OC)c(OC)c(OC)c3)[C@@H]1CO2
CHEMBL4864813,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc([N+](=O)[O-])cc3)[C@@H]1CO2
CHEMBL4852472,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3cccs3)[C@@H]1CO2
CHEMBL4872713,O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2ccccc2)CC1
CHEMBL5073904,N#CC(CCNCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)(c1ccccc1)c1ccccc1
CHEMBL5090215,CN(C)C(=O)C(CCNCCCCN1CCc2ccc(C#N)cc2C1)(c1ccccc1)c1ccccc1
CHEMBL4756322,O=C(c1ccc(Cl)c(Cl)c1)N1CCC(F)(CNCCOc2cccc3c2OCCO3)CC1
CHEMBL4790600,CC1(C)Cc2cccc(OCCNCC3(F)CCN(C(=O)c4ccc(F)c(Cl)c4)CC3)c2O1
CHEMBL4877940,COc1cc(CN2CCCC2)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
CHEMBL4853342,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCOCC5)cc4Cl)CC3)noc2c1
CHEMBL4751777,COc1ccccc1OCCNCC1(F)CCN(C(=O)c2ccc(F)c(Cl)c2)CC1
CHEMBL5072449,O=C(NCCCCN1CC[C@]2(c3cccc(O)c3)CCC[C@H]1[C@H]2O)c1cc2ccccc2[nH]1
CHEMBL4799851,O=S(=O)(c1cccc(Cl)c1)n1c(-c2ccccc2)nc2c(N3CCNCC3)nccc21
CHEMBL4794870,C#CCOc1ccc(-c2ccc(C(=O)NCCCCN(CCC)C3Cc4ccccc4C3)cc2)cc1
CHEMBL4759975,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)Nc3ccccc3)CC2)CCc2ccc(Cl)cc21
CHEMBL4750664,Cc1cccc(S(=O)(=O)N[C@@H]2CCN(CCCc3noc4ccccc34)C2)c1
CHEMBL4755563,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N(C)c3ccccc3)CC2)CCc2ccc(Cl)cc21
CHEMBL4741702,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N3CCOCC3)CC2)CCc2ccc(Cl)cc21
CHEMBL4743651,CCN(CC)C(=O)N[C@H]1CC[C@H](CCN2CCc3ccc(Cl)cc3[C@@H](C)C2)CC1
CHEMBL4784751,C[C@H]1CN(CC[C@H]2CC[C@H](N3C(=O)[C@@H]4[C@@H]5CC[C@@H](C5)[C@@H]4C3=O)CC2)CCc2ccc(Cl)cc21
CHEMBL4762918,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)C3CCCCC3)CC2)CCc2ccc(Cl)cc21
CHEMBL4878577,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1cccc(Cl)c1
CHEMBL4869668,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)C1CCCCC1
CHEMBL4853503,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc(Br)cc3)[C@@H]1CO2
CHEMBL4864969,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc4ccccc4c3)[C@@H]1CO2
CHEMBL4846201,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCC(C)CCCc1ccccc1
CHEMBL4775997,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc(F)c(Cl)c1
CHEMBL4777080,O=C(c1ccc(F)cc1)N1CCC(NCC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
CHEMBL4853938,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CCCCNC(=O)c2cc3ccccc3o2)c1O
CHEMBL4871669,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O
CHEMBL4846380,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NC(C)c1ccco1
CHEMBL4878215,N/C(=N\C(=O)NCc1ccccc1)NC1CCc2nc(N)sc2C1
CHEMBL4871811,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CCCCNC(=O)c2cc3ccccc3[nH]2)c1O
CHEMBL4858961,CCCN1CCC(CNC(=O)c2c(O)c(CC)cc(Cl)c2OC)C1
CHEMBL4862790,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3cccnc3)[C@@H]1CO2
CHEMBL4866053,OC1c2ccc(F)cc2CC1CCN1CCN(c2ccccn2)CC1
CHEMBL238916,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1
CHEMBL238917,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3S2(=O)=O)CC1
CHEMBL4866981,O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2cccc3ccccc23)CC1
CHEMBL4855524,COc1ccc2c(c1)C(C1=CCN(C)CC1)=Nc1cc(C)ccc1N2
CHEMBL4867331,COc1cccc(C(=O)NCc2ccccc2CN2CCc3cc(OC)c(O)cc3C2)c1
CHEMBL4796968,CN1CCN(CCCN2C(=O)c3ccccc3/C=C\c3ccccc32)CC1
CHEMBL4853668,CCCCCCNC(=O)/N=C(\N)NCCCc1sc(N)nc1C
CHEMBL4470487,O=C1c2ccccc2S(=O)(=O)N1CCCCCCN1CCN(c2ncccn2)CC1
CHEMBL4289498,O=C(CCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2c3c(c1)CCN3C(=O)CC2
CHEMBL4791959,CN1CCCCC1CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21.Cl
CHEMBL4875600,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NC(C)c1cccc(F)c1
CHEMBL4846638,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCC(C)C1CCCCC1
CHEMBL4853772,Cc1nc(N)sc1CCCN/C(N)=N/C(=S)N[C@H](C)c1ccccc1
CHEMBL4860478,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2C[C@@H](OCCCCNC(=O)c3cc4ccccc4[nH]3)CN2)c1O
CHEMBL4863748,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccccc1Cl)CC2
CHEMBL4790020,Cc1c(S(=O)(=O)N[C@H]2CCN(CCCc3noc4ccccc34)C2)sc2ccc(Cl)cc12
CHEMBL4868595,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2C[C@@H](OCCCc3ccccc3)CN2)c1O
CHEMBL4785434,Cn1ccc2cc(S(=O)(=O)N[C@H]3CCN(CCCc4noc5ccccc45)C3)ccc21
CHEMBL4758402,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc(F)cc1
CHEMBL4793608,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1csc2ccccc12
CHEMBL4782149,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1csc2ccccc12
CHEMBL4747978,Cc1c(S(=O)(=O)N[C@@H]2CCN(CCCc3noc4ccccc34)C2)sc2ccc(F)cc12
CHEMBL4873100,O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2ncccn2)CC1
CHEMBL4861643,CC1CCN(CCc2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1
CHEMBL4864074,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc(-c4ccccc4)cc3)[C@@H]1CO2
CHEMBL4860687,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc(Cl)cc3)[C@@H]1CO2
CHEMBL4852663,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCCC5)cc4)CC3)noc2c1
CHEMBL4875181,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccco3)[C@@H]1CO2
CHEMBL4798631,CC(=O)Nc1ccc(OCCCN2CCN(c3ncccn3)CC2)cc1
CHEMBL5090346,N#CC(CCNCCc1ccccc1)(c1ccccc1)c1ccccc1
CHEMBL4878271,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCOCC5)c(F)c4)CC3)noc2c1
CHEMBL4860225,N#Cc1ccc(C(=O)NCc2ccccc2CN2CCc3cc(O)c(O)cc3C2)cc1
CHEMBL4867109,O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2ccc(Cl)cc2)CC1
CHEMBL5191408,COc1cccc(N2CCN(CCCN3C(=O)CCc4ccccc43)CC2)c1.O=C(O)C(=O)O
CHEMBL5179930,O=C(O)C(=O)O.O=C1CCc2ccccc2N1CCCN1CCN(c2ccc(Cl)cc2Cl)CC1
CHEMBL5278853,N#Cc1[nH]c2ccccc2c1CN1CCN(c2ccccc2)CC1
CHEMBL5286175,Clc1ccc2c(c1)N=C(N1CCN(c3ccccc3)CC1)CCN2
CHEMBL4876545,COc1ccccc1N1CCN(Cc2ccc(CN3C(=O)c4ccccc4S3(=O)=O)cc2)CC1
CHEMBL4856753,Fc1ccc2c(C3CCN(CCCCOc4ccc(CN5CCOCC5)cc4)CC3)noc2c1
CHEMBL4845838,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1ccc(Br)cc1
CHEMBL4862399,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1cccc2ccccc12
CHEMBL4875008,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1cc2ccccc2[nH]1
CHEMBL5274609,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC[C@H]1CC[C@@H](NC(=O)c2cc3ccccc3[nH]2)CC1
CHEMBL4862405,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN(CCCCNC(=O)c3cc4ccccc4[nH]3)C2)c1O
CHEMBL4873313,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2C[C@@H](OCCCCOc3ccc4c(c3)NC(=O)CC4)CN2)c1O
CHEMBL4864320,CCCN1C[C@H](OCCCCOc2ccc3c(c2)NC(=O)CC3)C[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC
CHEMBL4876546,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccc(C#N)cc1)CC2
CHEMBL4786420,CCCN(CCCCc1cn(CCOCCOCCOCCOCCn2cc(CCCCN(CCC)C3Cc4ccccc4C3)nn2)nn1)C1Cc2ccccc2C1
CHEMBL4764557,COc1ccc2cc(S(=O)(=O)N[C@H]3CCN(CCCc4noc5ccccc45)C3)ccc2c1
CHEMBL4778418,Cc1c(S(=O)(=O)N[C@H]2CCN(CCCc3noc4ccccc34)C2)sc2ccc(F)cc12
CHEMBL4740785,CCCN(CCCCNC(=O)c1ccc(-c2ccc(OCc3cn(CCOCCOCCOCCOCCOCCn4cc(COc5ccc(-c6ccc(C(=O)NCCCCN(CCC)C7Cc8ccccc8C7)cc6)cc5)nn4)nn3)cc2)cc1)C1Cc2ccccc2C1
CHEMBL4762024,C[C@H]1CN(CC[C@H]2CC[C@H](N3C(=O)[C@H]4CCCC[C@H]4C3=O)CC2)CCc2ccc(Cl)cc21
CHEMBL4741673,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)[C@@H]3CCCN3)CC2)CCc2ccc(Cl)cc21
CHEMBL4872375,CCCCCCNC(=O)/N=C(\N)Nc1cccc(-c2csc(N)n2)c1
CHEMBL4876799,CCCCCCNC(=O)/N=C(\N)NC1CCc2nc(N)sc2C1
CHEMBL3916231,CC(O)CN1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
CHEMBL4791884,O=C(NCCCCN1CCO[C@@H]2c3cc(O)ccc3OC[C@@H]21)c1cc2ccccc2[nH]1
CHEMBL4779912,C[C@@H]1CN(CC[C@H]2CC[C@H](NC(=O)N(C)C)CC2)CCc2ccc(Cl)cc21
CHEMBL4856059,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)N[C@H](C)c1ccccc1
CHEMBL4856161,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccccc1Br)CC2
CHEMBL4854512,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1cccc(Cl)c1)CC2
CHEMBL4877460,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1cccc(C#N)c1)CC2
CHEMBL4876207,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccc(F)cc1)CC2
CHEMBL4854935,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccc(Cl)cc1)CC2
CHEMBL4862839,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1cccc(Cl)c1Cl)CC2
CHEMBL5070377,CN(C)C(=O)C(CCNCCc1ccccc1)(c1ccccc1)c1ccccc1
CHEMBL5178688,COc1ccccc1N1CCN(CCCN2CCN(C(=O)c3ccccn3)CC2)CC1
CHEMBL5277859,CCOC(=O)N1CCN(Cc2cnn(-c3ccc(Cl)cc3)c2)CC1
CHEMBL4846153,O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)nc3ccccc3c21
CHEMBL4862320,COc1ccc(C(=O)NCCCCN2CCO[C@@H]3c4ccccc4OC[C@H]32)cc1
CHEMBL4848199,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1ccccc1
CHEMBL4862275,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)C3CCCCC3)[C@@H]1CO2
CHEMBL4875195,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(C)C2)c1O
CHEMBL4764639,CC(=O)NCc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1
CHEMBL4760689,CC(=O)Nc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1C
CHEMBL5178499,Nc1nc(NCCNc2ccccc2)nc(NCCc2c[nH]c3ccccc23)n1
CHEMBL5193103,O=c1n(CCCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)nc2ccccn12
CHEMBL5189101,O=c1n(CCCCCCN2CCN(c3cccc4c3OCCO4)CC2)nc2ccccn12
CHEMBL4742856,Cn1ccc2c(S(=O)(=O)N[C@@H]3CCN(CCCc4noc5ccccc45)C3)cccc21
CHEMBL4759492,Cn1ccc2cc(S(=O)(=O)N[C@@H]3CCN(CCCc4noc5ccccc45)C3)ccc21
CHEMBL4751170,Cl.Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1
CHEMBL4750587,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc(F)c(Cl)c1
CHEMBL5081136,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2C[C@@H](OCCCCNCCC(C(=O)N(C)C)(c3ccccc3)c3ccccc3)CN2)c1O
CHEMBL5087504,Oc1cccc(C(CCNCCCCN2CCN(c3ccccc3)CC2)c2cccc(O)c2)c1
CHEMBL5084167,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc2ccccc2c1
CHEMBL5079536,Cc1c(S(=O)(=O)N[C@H]2C[C@H](C)N(CCCc3noc4cc(F)ccc34)C2)sc2ccc(Cl)cc12
CHEMBL4797996,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N3CCCC3)CC2)CCc2ccc(Cl)cc21
CHEMBL4780335,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)c3ccco3)CC2)CCc2ccc(Cl)cc21
CHEMBL4761274,CCCC(=O)N[C@H]1CC[C@H](CCN2CCc3ccc(Cl)cc3[C@@H](C)C2)CC1
CHEMBL132575,CCCN(CCC)C1CCC2=C(CCC/C2=N\O)C1
CHEMBL5183205,CCCCCNC(=O)/N=C(\N)NCCCc1cnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F
CHEMBL4779364,CC(=O)Nc1ccc(OCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1
CHEMBL4870716,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCOCC5)cc4)CC3)noc2c1
CHEMBL4860828,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCOCC5)cc4F)CC3)noc2c1
CHEMBL4846866,CN1CCN(Cc2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1
CHEMBL5184538,COc1ccccc1N1CCN(CCCCNc2nc(N)nc(NCCc3c[nH]c4ccccc34)n2)CC1
CHEMBL5197266,Nc1nc(NCCOc2cccc(Cl)c2Cl)nc(NCCc2c[nH]c3ccccc23)n1
CHEMBL4849107,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CCCCOc2ccc3c(c2)NC(=O)CC3)c1O
CHEMBL4799863,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N(C)C)CC2)CCc2ccc(Cl)cc21
CHEMBL5089348,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc(C(F)(F)F)cc1
CHEMBL5083505,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1cccc(F)c1
CHEMBL5082182,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1cccc(Cl)c1
CHEMBL4875709,CN1CC=C(C2=Nc3cc(F)ccc3Nc3ccc(Cl)cc32)CC1
CHEMBL4750660,[O-][S+](CCNC1CCN(Cc2ccc(F)cc2)CC1)C(c1ccc(F)cc1)c1ccc(F)cc1
CHEMBL4798638,OC(CNC1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)Cc1ccccc1
CHEMBL5076359,COc1cccc(C(=CCNCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c2cccc(OC)c2)c1
CHEMBL4778666,CN1CCCCC1CCN1c2ccc(Br)cc2[Se]c2cc(Br)ccc21.Cl
CHEMBL5219240,CN1CCN(c2nc(N)nc(C(C)(C)Sc3ccc4ccccc4c3)n2)CC1
CHEMBL4760105,CCc1nc2c(N3CCNCC3)nccc2n1S(=O)(=O)c1cccc(F)c1
CHEMBL4764883,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC(O)CCNC(=O)c1cc2ccccc2[nH]1
CHEMBL4876926,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1cccc(Br)c1)CC2
CHEMBL4848910,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccc(Br)cc1)CC2
CHEMBL5170808,Nc1nc(N)nc(NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)n1
CHEMBL146246,NS(=O)(=O)c1ccc(N2CCN(CCC3OCCc4ccccc43)CC2)cc1
CHEMBL4750939,CCN(C)C(=O)N[C@H]1CC[C@H](CCN2CCc3ccc(Cl)cc3[C@@H](C)C2)CC1
CHEMBL4742201,CN(C)CCN1C(=O)c2ccccc2N(C)C(=O)c2ccccc21
CHEMBL4760655,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2cc(Cl)ccc2c1
CHEMBL4791063,O=C(c1ccc(F)cc1F)N1CCC(NCCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
CHEMBL4794963,CC(=O)Nc1ccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1
CHEMBL4784228,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cccc(Cl)c1
CHEMBL4763106,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccc(Cl)cc2s1
CHEMBL4754193,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccc(F)cc2s1
CHEMBL4762226,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccc(F)cc2s1
CHEMBL4856005,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCc1ccccc1
CHEMBL5171721,O=C(O)C(=O)O.O=C1CCc2ccccc2N1CCN1CCN(c2ccccc2)CC1
CHEMBL5209074,Cc1ccccc1N1CCN(CCCN2C(=O)CCc3ccccc32)CC1.O=C(O)C(=O)O
CHEMBL5198170,O=C(O)C(=O)O.O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2[N+](=O)[O-])CC1
